bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
2024138,2162,SB646,6,Failed,2025-05-05,"To Amend The Law Concerning Occupational And Criminal Background Checks; And To Prohibit The Disqualification Of An Occupational License Based On A Prior Conviction Of An Offense In Certain Circumstances","To Amend The Law Concerning Occupational And Criminal Background Checks; And To Prohibit The Disqualification Of An Occupational License Based On A Prior Conviction Of An Offense In Certain Circumstances",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/SB646/2025,https://arkleg.state.ar.us/Bills/Detail?id=sb646&ddBienniumSession=2025%2F2025R
2024345,2162,SB647,1,Introduced,2025-04-16,"To Create The Economic Development District Act Of 2025.","To Create The Economic Development District Act Of 2025.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SB647/2025,https://arkleg.state.ar.us/Bills/Detail?id=sb647&ddBienniumSession=2025%2F2025R
1903605,2162,SR1,4,Passed,2025-01-22,"To Honor St. Bernards Medical Center In Jonesboro For Being The First Medical Facility In The State To Open A Maternal Life360 Home.","To Honor St. Bernards Medical Center In Jonesboro For Being The First Medical Facility In The State To Open A Maternal Life360 Home.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR1/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr1&ddBienniumSession=2025%2F2025R
1919789,2162,SR2,4,Passed,2025-01-16,"To Congratulate The Arkansas Medical Society; And To Celebrate 2025 As &quot;the Year Of The Arkansas Physician&quot;.","To Congratulate The Arkansas Medical Society; And To Celebrate 2025 As &quot;the Year Of The Arkansas Physician&quot;.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR2/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr2&ddBienniumSession=2025%2F2025R
1928692,2162,SR3,4,Passed,2025-01-21,"To Recognize And Celebrate Arkansas Forestry Day At The State Capitol On January 21, 2025.","To Recognize And Celebrate Arkansas Forestry Day At The State Capitol On January 21, 2025.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR3/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr3&ddBienniumSession=2025%2F2025R
1937223,2162,SR4,4,Passed,2025-01-27,"To Welcome Lieutenant General (retired) Jay B. Silveria As President Of The University Of Arkansas System.","To Welcome Lieutenant General (retired) Jay B. Silveria As President Of The University Of Arkansas System.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR4/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr4&ddBienniumSession=2025%2F2025R
1942676,2162,SR5,4,Passed,2025-01-28,"To Commemorate And Recognize National School Choice Week During The Week Of January 26-february 1.","To Commemorate And Recognize National School Choice Week During The Week Of January 26-february 1.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR5/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr5&ddBienniumSession=2025%2F2025R
1944089,2162,SR6,4,Passed,2025-01-29,"To Recognize And Celebrate January 29, 2025, As Mental Health Day At The State Capitol.","To Recognize And Celebrate January 29, 2025, As Mental Health Day At The State Capitol.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR6/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr6&ddBienniumSession=2025%2F2025R
1943908,2162,SR7,4,Passed,2025-02-03,"To Recognize The City Of Siloam Springs As Recipient In 2024 Of A Volunteer Community Of The Year Award, The Most Innovative City Award, The Floodplain Community Of The Year Award, And A Trendsetter City Award.","To Recognize The City Of Siloam Springs As Recipient In 2024 Of A Volunteer Community Of The Year Award, The Most Innovative City Award, The Floodplain Community Of The Year Award, And A Trendsetter City Award.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR7/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr7&ddBienniumSession=2025%2F2025R
1950061,2162,SR8,4,Passed,2025-02-03,"To Recognize Monday, February 3, 2025, As The Links Legislative Day At The State Capitol, And To Recognize The Links, Incorporated For Its Service And Contributions To Its Chapter Communities And To The State Of Arkansas.","To Recognize Monday, February 3, 2025, As The Links Legislative Day At The State Capitol, And To Recognize The Links, Incorporated For Its Service And Contributions To Its Chapter Communities And To The State Of Arkansas.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR8/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr8&ddBienniumSession=2025%2F2025R
